13/1/2026,72,10,FACTURE 2600078    /25A0419,13/1/2026,2600078,13/1/2026,!,338000,,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,338000,,!,338000,,
Compte :,411000,,02569       MENUISERIE DE LA GR,ANDE ILE,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
8/1/2026,8600003,86,TRT PTF MGI 240226,8/1/2026,2507372,9/3/2026,!,,"1470754,53",!,,,
8/1/2026,8600003,86,TRT PTF MGI 090126,8/1/2026,2504383,9/3/2026,!,,"1455894,94",!,,,
8/1/2026,8600003,86,TRT PTF MGI 100226,8/1/2026,2504182,9/3/2026,!,,"2133862,17",!,,,
8/1/2026,8600003,86,TRT PTF MGI 230126,8/1/2026,2504352,9/3/2026,!,,"3920475,81",!,,,
8/1/2026,8600003,86,TRT PTF MGI 300126,8/1/2026,2504421,9/3/2026,!,,"4114791,8",!,,,
8/1/2026,8600003,86,TRT PTF MGI 240226,8/1/2026,2504371,9/3/2026,!,,"2178306,76",!,,,
8/1/2026,8600003,86,TRT PTF MGI 200226,8/1/2026,2504325,9/3/2026,!,,803400,!,,,
8/1/2026,8600003,86,TRT PTF MGI 200226,8/1/2026,2504346,9/3/2026,!,,"862757,91",!,,,
8/1/2026,8600003,86,TRT PTF MGI 170226,8/1/2026,2504291,9/3/2026,!,,"349130,58",!,,,
8/1/2026,8600003,86,TRT PTF MGI 270226,8/1/2026,2504404,9/3/2026,!,,"964224,44",!,,,
14/1/2026,78,10,FACTURE 2600028    /25F0206,8/1/2026,2600028,7/2/2026,!,"3576531,69",,!,,,
13/1/2026,54,10,FACTURE 2600036    /25C1612,9/1/2026,2600036,10/3/2026,!,711730,,!,,,
13/1/2026,69,10,FACTURE 2600074    /25F0206,13/1/2026,2600074,14/3/2026,!,"3580359,02",,!,,,
14/1/2026,82,10,FACTURE 2600085    /26C0005,14/1/2026,2600085,15/3/2026,!,"3277974,19",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"11146594,9","18253598,94",!,,7107004,","
Compte :,411000,,02625       AGRICOM SA,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
6/1/2026,3520003,35,VRMNT RECU AGRICOM,6/1/2026,,5/2/2026,!,,"18812037,37",!,,,
8/1/2026,10,10,FACTURE 2600016    /25F0177,7/1/2026,2600016,6/2/2026,!,"4754471,9",,!,,,
8/1/2026,22,10,FACTURE 2600029    /25C1684,8/1/2026,2600029,8/1/2026,!,"123545276,4",,!,,,
9/1/2026,3520010,35,VRMNT RECU AGRICOM,9/1/2026,,8/2/2026,!,,"4128455,4",!,,,
12/1/2026,51,10,FACTURE 2600052    /25C1645,9/1/2026,2600052,8/2/2026,!,"7104280,83",,!,,,
13/1/2026,64,10,FACTURE 2600064    /25C1596,9/1/2026,2600064,8/2/2026,!,"8085023,89",,!,,,
12/1/2026,29,10,FACTURE 2600068    /25F0216,12/1/2026,2600068,12/1/2026,!,"4786594,4",,!,,,
12/1/2026,52,10,FACTURE 2600070    /25C1645,12/1/2026,2600070,12/1/2026,!,"689222,41",,!,,,
12/1/2026,3520014,35,VRMNT RECU AGRICOM,12/1/2026,,11/2/2026,!,,"123545276,4",!,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
ET468,,,,G R A,N D - L I,V R E,,A U X I L I,A I R E,,le 14/01/26,… 17:03:0,0
TRANSIT,TRANSPOR,T ET,TRRAT,-----,----------,--------,-,--------------,-------,,P,age :   000,6
PERIODE,DE   1/2,6 …,déc.-26,,,,,,,,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
Date,,Cod,e,Date,,Date,!,,,!,,Nø lettrag,e
Comptabl,e PiŠce,Jrn,Libell‚,Facture,R‚f‚rence,Ech‚ance,!,D‚bit,Cr‚dit,!,Solde d‚bite,ur/cr‚diteu,r
========,========,====,===============================,========,==========,========,!,==============,=============,!,==============,===========,=
Compte :,411000,,02625       AGRICOM SA,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
13/1/2026,68,10,FACTURE 2600073    /25F0213,13/1/2026,2600073,13/1/2026,!,"40163233,6",,!,,,
13/1/2026,71,10,FACTURE 2600076    /25C1667,13/1/2026,2600076,13/1/2026,!,"12842567,2",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"201970670,6","146485769,2",!,"55484901,46",,
Compte :,411000,,02658       NIVO SA,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
7/1/2026,8600002,86,TRT PORTEF NIVO ECH230126,,2504360,,!,,"9374225,09",!,,,
